Data,ST1 Mobile,Porthable (Temp)
2016/04/25 08:34:45,21.62,20.00
2016/04/25 08:39:46,21.50,20.00
2016/04/25 08:44:47,21.31,20.00
2016/04/25 08:49:48,21.06,20.00
2016/04/25 08:54:49,21.00,20.00
2016/04/25 08:59:50,21.00,19.94
2016/04/25 09:04:51,21.06,20.00
2016/04/25 09:09:52,20.94,19.94
2016/04/25 09:14:53,20.87,19.88
2016/04/25 09:19:54,20.94,19.88
2016/04/25 09:24:55,21.00,19.94
2016/04/25 09:29:56,20.94,20.00
2016/04/25 09:34:57,21.00,19.94
2016/04/25 09:39:58,20.94,19.88
2016/04/25 09:44:59,20.87,19.81
2016/04/25 09:50:00,20.94,19.81
2016/04/25 09:55:01,21.00,19.81
2016/04/25 10:00:02,20.87,19.75
2016/04/25 10:05:03,20.94,19.75
2016/04/25 10:10:04,20.87,19.75
2016/04/25 10:15:05,20.87,19.75
2016/04/25 10:20:06,20.94,19.75
2016/04/25 10:25:07,20.94,19.75
2016/04/25 10:30:08,20.87,19.75
2016/04/25 10:35:09,20.81,19.69
2016/04/25 10:40:10,20.94,19.69
2016/04/25 10:45:11,20.81,19.69
2016/04/25 10:50:12,20.75,19.69
2016/04/25 10:55:13,20.81,19.63
2016/04/25 11:00:14,20.81,19.69
2016/04/25 11:05:15,20.75,19.63
2016/04/25 11:10:16,20.75,19.63
2016/04/25 11:15:17,20.75,19.69
2016/04/25 11:20:18,20.62,19.63
2016/04/25 11:25:19,20.69,19.63
2016/04/25 11:30:20,20.75,19.63
2016/04/25 11:35:21,20.62,19.63
2016/04/25 11:40:22,20.62,19.63
2016/04/25 11:45:23,20.56,19.56
2016/04/25 11:50:24,20.56,19.56
2016/04/25 11:55:25,20.56,19.56
2016/04/25 12:00:26,20.56,19.63
2016/04/25 12:05:27,20.56,19.56
2016/04/25 12:10:28,20.56,19.56
2016/04/25 12:15:29,20.56,19.56
2016/04/25 12:20:30,20.56,19.50
2016/04/25 12:25:31,20.56,19.56
2016/04/25 12:30:32,20.56,19.56
2016/04/25 12:35:33,20.56,19.56
2016/04/25 12:40:34,20.50,19.56
2016/04/25 12:45:35,20.44,19.50
2016/04/25 12:50:36,20.50,19.50
2016/04/25 12:55:37,20.44,19.50
2016/04/25 13:00:38,20.44,19.56
2016/04/25 13:05:39,20.44,19.50
2016/04/25 13:10:40,20.50,19.56
2016/04/25 13:15:41,20.44,19.50
2016/04/25 13:20:42,20.50,19.50
2016/04/25 13:25:43,20.44,19.50
2016/04/25 13:30:44,20.44,19.50
2016/04/25 13:35:45,20.44,19.50
2016/04/25 13:40:46,20.44,19.50
2016/04/25 13:45:47,20.44,19.50
2016/04/25 13:50:48,20.44,19.50
2016/04/25 13:55:49,20.44,19.50
2016/04/25 14:00:50,20.37,19.56
2016/04/25 14:05:51,20.44,19.56
2016/04/25 14:10:52,20.50,19.63
2016/04/25 14:15:53,20.62,19.63
2016/04/25 14:20:54,20.50,19.63
2016/04/25 14:25:55,20.62,19.69
2016/04/25 14:30:56,20.69,19.75
2016/04/25 14:35:57,20.62,19.75
2016/04/25 14:40:58,20.56,19.69
2016/04/25 14:45:59,20.56,19.50
2016/04/25 14:51:00,20.56,19.63
2016/04/25 14:56:01,20.69,19.63
2016/04/25 15:01:02,20.69,19.69
2016/04/25 15:06:03,20.69,19.69
2016/04/25 15:11:04,20.56,19.69
2016/04/25 15:16:05,20.62,19.69
2016/04/25 15:21:06,20.56,19.69
2016/04/25 15:26:07,20.25,19.81
2016/04/25 15:31:08,20.12,19.81
2016/04/25 15:36:09,20.19,19.81
2016/04/25 15:41:10,20.19,19.88
2016/04/25 15:46:11,20.37,20.19
2016/04/25 15:51:12,20.31,20.19
2016/04/25 15:56:13,20.31,20.06
2016/04/25 16:01:14,20.31,20.00
2016/04/25 16:06:15,20.19,19.94
2016/04/25 16:11:16,20.19,19.94
2016/04/25 16:16:17,20.12,19.88
2016/04/25 16:21:18,20.19,19.88
2016/04/25 16:26:19,20.19,19.88
2016/04/25 16:31:20,20.19,19.88
2016/04/25 16:36:21,20.12,19.81
2016/04/25 16:41:22,20.12,19.81
2016/04/25 16:46:23,20.12,19.81
2016/04/25 16:51:24,20.12,19.81
2016/04/25 16:56:25,20.12,19.81
2016/04/25 17:01:26,20.06,19.81
2016/04/25 17:06:27,20.06,19.81
2016/04/25 17:11:28,20.12,19.81
2016/04/25 17:16:29,20.06,19.75
2016/04/25 17:21:30,20.06,19.75
2016/04/25 17:26:31,20.06,19.75
2016/04/25 17:31:32,20.06,19.75
2016/04/25 17:36:33,20.06,19.75
2016/04/25 17:41:34,20.06,19.75
2016/04/25 17:46:35,20.00,19.75
2016/04/25 17:51:36,20.00,19.75
2016/04/25 17:56:37,19.69,19.63
2016/04/25 18:01:38,19.87,19.69
2016/04/25 18:06:39,19.75,19.56
2016/04/25 18:11:40,19.62,19.50
2016/04/25 18:16:41,19.56,19.44
2016/04/25 18:21:42,19.75,19.56
2016/04/25 18:26:43,19.81,19.63
2016/04/25 18:31:44,19.87,19.69
2016/04/25 18:36:45,19.94,19.69
2016/04/25 18:41:46,19.94,19.69
2016/04/25 18:46:47,20.00,19.75
2016/04/25 18:51:48,20.00,19.75
2016/04/25 18:56:49,20.00,19.81
2016/04/25 19:01:50,20.00,19.81
2016/04/25 19:06:51,20.06,19.81
